Serial No.,College Name,Distance Education Info
27,Dayalbagh Educational Institute Faculty of Engineering,no data found
28,Mepco Schlenk Engineering College,no data found
29,Sri Venkateswara University College of Engineering,no data found
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],no data found
31,Bharati Vidyapeeth Deemed University Pune,"Bharati Vidyapeeth School Of Distance Education, Pune is approved by the UGC, AICTE and accredited with an ‘A+’ grade by NAAC. It offers UG, PG, and Diploma programs in various streams like Arts, Science, Commerce, Management and Law. Bharati Vidyapeeth Distance Education admission to all its courses is done on the basis of merit of the qualifying examination."
32,Hindustan Institute of Technology and Science - [HITS],no data found
33,C. V. Raman Global University,no data found
34,Sri Krishna College of Engineering and Technology - [SKCET],no data found
35,Kongu Engineering College - [KEC],no data found
36,"Vignan's Foundation for Science, Technology, and Research",no data found
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],no data found
38,Bannari Amman Institute of Technology - [BIT],no data found
39,Institute of Engineering and Management - [IEM],no data found
40,Sona College of Technology,no data found
41,Jain University - [JU],"JAIN Online aims to provide the best education to all those who seek it and works towards that consciously. JAIN Online offers scholarships under various categories that aim to enable learners with the convenience, confidence, and security they need to embark and facilitate on their journeys towards their goals. Scholarship Programs offered at JAIN Online are designed to empower learners with the flexibility and resources necessary for achieving their goals. JAIN Online Scholarships enable a shift in the learner’s focus toward a robust and effective education."
42,Chaitanya Bharathi Institute of Technology - [CBIT],no data found
43,New Horizon College of Engineering - [NHCE],no data found
44,Veermata Jijabai Technological Institute - [VJTI],no data found
45,"JNTUK University College of Engineering, Kakinada",no data found
46,"Graphic Era University, School of Engineering and Technology - [GEU]",no data found
47,K. J. Somaiya College of Engineering - [KJSCE],no data found
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur",no data found
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],no data found
50,Sardar Patel Institute of Technology - [SPIT],no data found
51,"Faculty of Engineering and Technology, Jain University - [FET JU]",no data found
52,Ramdeobaba University - [RBU],no data found
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],no data found
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],no data found
55,Sri Jayachamarajendra College of Engineering - [SJCE],no data found
56,Jaypee University of Information Technology - [JUIT],no data found
57,"University Institute of Engineering, Chandigarh University - [UIE]",no data found
58,"School of Engineering and Technology, NCU - [SOET]",no data found
59,Lovely Professional University - [LPU],LPUDE offers scholarships to distance-mode students enrolled under the Center for Distance and Online Education (CDOE). The scholarships offered by LPUDE for distance-mode students are as follows:
60,St. Joseph College Of Engineering,no data found
61,Saveetha Engineering College - [SEC],no data found
62,Sri Sairam Engineering College,no data found
63,NMAM Institute of Technology - [NMAMIT],no data found
64,"CVR College of Engineering, Ibrahimpatnam",no data found
65,Yeshwantrao Chavan College of Engineering - [YCCE],no data found
66,"Institute of Technology, Nirma University",no data found
67,Sant Longowal Institute of Engineering and Technology - [SLIET],no data found
68,Sri Ramakrishna Engineering College - [SREC],no data found
69,Chennai Institute of Technology - [CIT],no data found
70,Institute of Aeronautical Engineering - [IARE],no data found
71,Nitte Meenakshi Institute of Technology - [NMIT],no data found
72,Sri Venkateswara College of Engineering - [SVCE],no data found
73,Rajalakshmi Engineering College - [REC],no data found
74,PES University - [PESU],no data found
75,Heritage Institute of Technology - [HIT],no data found
76,Sri Krishna College of Technology - [SKCT],no data found
77,PSNA College of Engineering and Technology,no data found
78,BV Raju Institute of Technology - [BVRIT],no data found
79,University of Petroleum and Energy Studies - [UPES],"The University of Petroleum and Energy Studies Centre for Continuing Education (UPES-CCE) was established in the year 2007. It aims at providing quality education to working professionals. The institute offers distance learning programs that include BBA, MBA, PGP, Diploma, Advanced Diploma & Certification courses across various specializations. | Admission is granted on the basis of academic performance & work experience. Applications for admission are accepted both online and offline."
80,Vardhaman College of Engineering - [VCE],no data found
81,BMS Institute of Technology and Management - [BMSIT],no data found
82,B. N. M. Institute of Technology - [BNMIT],no data found
83,KLE Technological University,no data found
84,RMK Engineering College - [RMKEC],no data found
85,MIT World Peace University - [MIT-WPU],no data found
86,Vishwakarma Institute of Information Technology - [VIIT],no data found
87,Anurag University,no data found
88,Narula Institute of Technology - [NIT Agarpara],no data found
89,PES College of Engineering - [PESCE],no data found
90,Sree Vidyanikethan Engineering College - [SVEC],no data found
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",no data found
92,Vasavi College of Engineering,no data found
93,CMR Institute of Technology - [CMRIT],no data found
94,G. Pulla Reddy Engineering College - [GPREC],no data found
95,Haldia Institute of Technology - [HIT],no data found
96,Ramrao Adik Institute of Technology - [RAIT],no data found
97,Sri Venkateswara College of Engineering and Technology - [SVCET],no data found
98,The National Institute of Engineering - [NIE],no data found
99,North Eastern Regional Institute of Science and Technology - [NERIST],no data found
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],no data found
101,Dr. Mahalingam College of Engineering & Technology - [MCET],no data found
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],no data found
103,Kakatiya Institute of Technology & Science - [KITSW],no data found
104,Shri Vishnu Engineering College for Women - [SVECW],no data found
105,Alliance College of Engineering and Design,no data found
106,Saveetha School of Engineering - [SSE],no data found
107,Pimpri Chinchwad College of Engineering - [PCCOE],no data found
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],no data found
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],no data found
110,Dr. M.G.R. Educational and Research Institute,no data found
111,Basaveshwar Engineering College - [BEC],no data found
112,MKSSS's Cummins College of Engineering for Women,no data found
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],no data found
114,Sri Sairam Institute of Technology - [SSIT],no data found
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,no data found
116,Thakur College of Engineering and Technology - [TCET],no data found
117,Easwari Engineering College - [EEC],no data found
118,Gayatri Vidya Parishad College of Engineering,no data found
119,Dr. B R Ambedkar Institute of Technology,no data found
120,Manipal University - [MUJ],"Manipal University, Jaipur - Online Manipal offers undergraduate and postgraduate programs in various disciplines such as Human Resources, Marketing, Computer Application, Commerce and Journalism. Manipal Online is approved by AICTE and is recognized by UGC (University Grants Commission) and WES (World Education Services). It provides flexible learning opportunities, e-learning material and full-fledged program delivery through the Internet using technology-assisted mechanisms and resources. Students can access more than 10,000 courses on Coursera. | Manipal Online Scholarships are awarded to students based on their merit in Class 12. Students from low economic backgrounds and other special categories are also eligible for Manipal Online Scholarships. Some of the scholarships offered by Manipal Online are as follows:"
121,The LNM Institute of Information Technology - [LNMIIT],no data found
122,SRM Institute of Science and Technology - [SRMIST],"SRM Institute of Science and Technology Directorate of Online Education formerly known as SRM University Chennai DDE is the department located in Kattankulathur, Chennai. The institute has 4 campuses in Kattankulathur, Ramapuram, Vadapalani of Chennai and Modi Nagar of Ghaziabad. SRM University offers Distance Education for students who can acquire university degree from the comfort of their homes. All the courses provided by SRM University distance education courses are recognized by UGC and MHRD and accredited by NAAC. The university offers many UG and PG courses in the field of Management, Commerce, and Computer Application through distance learning."
123,Christ University,no data found
124,Manipal Academy of Higher Education - [MAHE],no data found
125,Centurion University of Technology and Management - [CUTM],no data found
126,Sharda University,no data found
127,SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University],no data found
128,K.R. Mangalam University,no data found
129,Galgotias University - [GU],no data found
130,Nirma University,no data found
131,REVA University,no data found
132,Bennett University,no data found
133,Chitkara University - [CU],no data found
134,Singhania University,no data found
135,Shiv Nadar University - [SNU],no data found
136,Harcourt Butler Technological University - [HBTU],no data found
137,Jaipur National University - [JNU],"School Of Distance Education And Learning (SODEL Jaipur) is an open Institute, providing courses in Management, Science and Arts stream. There are 5 UG, 3 PG and various other Diploma courses offered by SODEL. Affiliated to Jaipur National University which is considered to be the topmost university in Rajasthan and is among the top 20 private universities in India. The admission to various courses is done through both online as well as offline mode."
138,Integral University,no data found
139,Vellore Institute of Technology - [VIT],no data found
140,K L University - [KLH],no data found
141,Manav Rachna International Institute of Research and Studies - [MRIIRS],no data found
142,Pandit Deendayal Energy University - [PDEU],no data found
143,Alliance University,no data found
144,"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]",no data found
145,Amity University,no data found
146,VIT Bhopal University,no data found
147,Acharya Institute of Technology - [AIT],no data found
148,MVJ College of Engineering - [MVJCE],no data found
149,DIT University - [DIT],no data found
150,Bharath University - Bharath Institute of Higher Education and Research - [BIHER],"Bharath Institute of Higher Education and Research is a distance learning institute which is approved by AICTE. BIHER is the first private university in India to get the coveted international accreditation from ABET, USA in 2018. The institute offers BBA, B.Com and BA courses at the undergraduate level and offers M.Com program at the postgraduate level. Admission to the courses offered will be done based on the candidate’s performance in the previous qualifying examination. Some of the top recruiters that recruit BIHER’s students include Capgemini, Amazon, Wipro, Byju’s, L&T Ltd. etc."
151,GLA University,no data found
152,J.S. University - [JSU],no data found
153,Amity University,no data found
154,NIMS University,no data found
155,"Vels Institute of Science, Technology & Advanced Studies",no data found
156,Techno India University,no data found
157,Vishwakarma Institute of Technology,no data found
158,JECRC University - [JU],no data found
159,Birla Institute of Technology and Science - [BITS],no data found
160,NIST University,no data found
161,Silicon University,no data found
162,Centurion University of Technology and Management - [CUTM],no data found
163,Sanskriti University - [SU],no data found
164,Adamas University,no data found
165,Ganpat University - [GUNI],no data found
166,CEPT University,no data found
167,Birla Institute of Technology and Science - [BITS],no data found
168,Mahatma Gandhi Institute of Technology - [MGIT],no data found
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],no data found
170,RKDF University,no data found
171,SunRise University - [SRU],no data found
172,Uttaranchal University,no data found
173,OPJS University,no data found
174,"PDM University, Bahadurgarh",no data found
175,Centurion University of Technology and Management - [CUTM],no data found
176,RKDF University,no data found
177,MLR Institute of Technology - [MLRIT],no data found
178,BML Munjal University - [BMU],no data found
179,Shoolini University,"Shoolini University Online is a distance learning university in Solan, Himachal Pradesh which came into existence in 2022. The university offers various courses in diverse disciplines at the undergraduate and the postgraduate level. It is India’s first online university which offers Pay after Placement option for the students. Admission to the courses offered by the university is done based on the candidate’s performance in the previous qualifying examination. Some of the top recruiters that recruit Shoolini’s students include LG, ICICI Bank, Nestle, L&T and One Score among various others."
180,Banasthali Vidyapith,no data found
181,Amity University,no data found
182,CMR University - [CMRU],no data found
183,Bangalore Institute of Technology - [BIT],no data found
184,Poornima University - [PU],no data found
185,Sikkim Manipal University - [SMU],Sikkim Manipal University Distance Education [SMU-DE] has been awarded as the “Best University in Distance Learning” by ASSOCHAM India. It has also won Silver Award in Digital Learning Transformation Category in 2018. The university offers total 6 undergraduate and postgraduate level courses in Management and Information Technology in distance mode. SMUDE has a vibrant alumni community with over 5 lakh alumni members. Check out other top distance MBA colleges and courses in India
186,Monad University,no data found
187,Graphic Era University - [GEU],"Graphic Era University Online is a private university approved by UGC which is located in Dehradun, Uttarakhand. The university offers various courses in diverse disciplines at the undergraduate and the postgraduate level. Admission to the MBA course will be done based on the candidate's performance in national or state level management entrance exams such as CAT/ MAT/ NMAT/ CMAT etc. The training and placement cell at GEU Online aims at providing a 100% placement assistance to its students."
188,Chandigarh Group of Colleges - [CGC] Landran,no data found
189,Mody University,no data found
190,Brainware University,no data found
191,Institute Technology & Management - [ITM],no data found
192,Sandip University,no data found
193,Malla Reddy Engineering College - [MREC],no data found
194,Amity University,no data found
195,Shobhit University,no data found
196,Sri Sri University - [SSU],no data found
197,Garden City University - [GCU],no data found
198,Madras Institute of Technology- [MIT],no data found
199,Malla Reddy College of Engineering - [MRCE],no data found
200,Indus University,no data found
201,Academy of Maritime Education and Training University - [AMET],no data found
202,IFTM University,no data found
203,Marwadi University - [MU],no data found
204,Glocal University,no data found
205,Indraprastha Institute of Technology and Management - [IITM],no data found
206,SAGE University,no data found
207,YBN University - [YBN],no data found
208,RIMT University,no data found
209,AMC Engineering College - [AMC],no data found
210,Aditya Engineering College - [AEC],no data found
211,Maharaja Agrasen Institute of Technology - [MAIT],no data found
212,Maharaja Surajmal Institute of Technology - [MSIT],no data found
213,Panimalar Engineering College,no data found
214,MATS University,no data found
215,Suresh Gyan Vihar University - [SGVU],"Suresh Gyan Vihar University, a private university in Jaipur, Rajasthan, has established SGVU Directorate of Distance Education. The institute has been known for its academic excellence in online education for the past ten years after NAAC accreditation with a Grade A. It is also the first university in Rajasthan with a NAAC ‘A’ grade. DNA has placed it at rank 1 among private universities in Rajasthan. Their initiative of distance education in popular courses like MBA and BA Journalism is helping students through online accessibility and affordability. The total course fees range from INR 11k to 75k."
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],no data found
217,Invertis University,no data found
218,Acropolis Institute of Technology & Research - [AITR],no data found
219,Quantum University,no data found
220,SAGE University,no data found
221,Model Institute of Engineering and Technology - [MIET],no data found
222,RVR and JC College of Engineering,no data found
223,Rabindranath Tagore University - [RNTU],no data found
224,Sister Nivedita University - [SNU],no data found
225,CMJ University,no data found
226,Mangalayatan University - [MU],no data found
227,Navrachana University - [NUV],no data found
228,Amity University,no data found
229,GLS University,no data found
230,Karnavati University - [KU],no data found
231,Noida Institute of Engineering and Technology - [NIET],no data found
232,ABES Engineering College,no data found
233,Asansol Engineering College - [AEC],no data found
234,Bharati Vidyapeeth's College of Engineering - [BVCOE],no data found
235,Gudlavalleru Engineering College - [GEC],no data found
236,Jaypee University of Engineering and Technology - [JUET],no data found
237,Sri Venkateswara College of Engineering - [SVCE],no data found
238,Thadomal Shahani Engineering College - [TSEC],no data found
239,Velammal Engineering College - [VEC],no data found
240,Oriental University - [OU],no data found
241,University of Science and Technology - [USTM],no data found
242,Guru Kashi University,no data found
243,Noida International University - [NIU],no data found
244,Central Institute of Technology - [CIT],no data found
245,Vidyalankar Institute of Technology - [VIT],no data found
246,Madhav University - [MU],no data found
247,Graphic Era Hill University - [GEHU],no data found
248,University of Engineering and Management - [UEM],no data found
249,Mangalayatan University,no data found
250,Assam down town University - [ADTU],no data found
251,Amity University,no data found
252,GSFC University,no data found
253,Federal Institute of Science and Technology - [FISAT],no data found
254,Galgotias College of Engineering and Technology - [GCET],no data found
255,Global Academy of Technology - [GAT],no data found
256,HKBK Group of Institutions,no data found
257,Sri Vasavi Engineering College - [SVEC],no data found
258,Uka Tarsadia University,no data found
259,AKS University - [AKSU],no data found
260,ITM University,no data found
261,Jagannath University,"School of Distance Learning of Jagan Nath University, JIMS Group has been established in 2010 by Distance Education Council. The university promotes quality education to all who are not able to pursue higher conventional method of education due to some reasons. It is affiliated to Jagan Nath University which is an ISO 9001-2015 Certified Institution. | The objective of Distance education is to acquire knowledge to produce energetic, effective efficient and ethically driven students to serve society. The Distance learning is an alternative to regular courses for those who are unable to pursue education due to many reasons. The mode of teaching in Distance learning is primarily via the internet and offer new teaching methodologies specially designed course materials by the specialists from various universities and industries and tailored means of delivery. Thus students can learn from anywhere all around the country."
262,Babu Banarasi Das University - [BBDU],no data found
263,JIS College of Engineering - [JISCE],no data found
264,Rayat Bahra University,no data found
265,Amity University,no data found
266,IILM University,no data found
267,Cambridge Institute of Technology - [CiTech],no data found
268,RC Patel Institute of Technology - [RCPIT],no data found
269,St. Francis Institute of Technology - [SFIT],no data found
270,ICFAI University,"ICFAI University, Directorate of Distance Education, Agartala, Tripura was launched in the year 2007 to provide flexible learning options to those unable to attend full time courses. It offers courses such as BBA, MBA, MBA Executive, PG Diploma and Diploma in the field of Management. Admission to the university is done on the basis of merit. Interested candidates can apply in online or offline mode."
271,Atharva College of Engineering,no data found
272,Don Bosco Institute of Technology - [DBIT],no data found
273,GNIOT Group of Institutions - [GNIOT],no data found
274,Jeppiaar Engineering College,no data found
275,Karpagam College of Engineering - [KCE],no data found
276,KIET Group of Institutions - [KIET],no data found
277,PES College of Engineering - [PESCOE],no data found
278,Raghu Engineering College - [REC],no data found
279,Symbiosis Institute of Technology - [SIT],no data found
280,Terna Engineering College Navi Mumbai,no data found
281,Vivekanand Education Society Institute of Technology - [VESIT],no data found
282,Sreenidhi Institute of Science and Technology - [SNIST],no data found
283,Paavai Engineering College (Autonomous),no data found
284,Assam Don Bosco University - [ADBU],no data found
285,RK University - [RKU],no data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],no data found
287,Sai Nath University,no data found
288,GITAM,no data found
289,Yenepoya University,no data found
290,DAV University,no data found
291,Pacific University,no data found
292,ICFAI University,no data found
293,KCG College of Technology,no data found
294,Silicon Institute of Technology - [SIT],no data found
295,Birla Institute of Technology - [BIT],no data found
296,Birla Global University - [BGU],no data found
297,GITAM,no data found
298,Medi-Caps University,no data found
299,GNA University,no data found
300,Mahindra University,no data found
301,The Neotia University - [TNU],no data found
302,Starex University,no data found
303,Institute of Engineering and Science - [IES],no data found
304,GIFT Autonomous,no data found
305,Parul University,"Parul University Online is a Gujarat-based, NAAC accredited (A++ Grade) and leading multidisciplinary destination which came into existence in 2015. It offers a wide range of AICTE accredited Undergraduate, Postgraduate, doctoral and Diploma courses with the support of its amazing faculties and amalgamation of various institutes. The strength of the University lies in its 50000+ students and 3500+ international students followed by 500+ Ph.D. Guides, 320+ Filed Patents & Granted Patents, 100+ Visiting Faculties, 12+ Cr In Innovation Grants, and ."
306,Dr. C.V. Raman University - [CVRU],"Dr. CV Raman University, Institute of Open and Distance Education (IODE), Bilaspur is awarded ‘Best University in Distance Online Learning’ by ASSOCHAM and awarded with the ‘World Education Award’ for best and next practices in Open and Distance Learning at World Education Summit. With 87 proposed study centers across Chhattisgarh, this institute offers students 41 different courses in 5 different departments. IODE Bilaspur offers degree and diploma in the discipline of Management, Information Technology, Commerce, Science, Biology, Economics, etc."
307,Jigyasa University (Formerly Himgiri Zee University),no data found
308,Jagran Lakecity University - [JLU],no data found
309,ACS College of Engineering - [ACSCE],no data found
310,Adhiyamaan College of Engineering,no data found
311,Ajay Kumar Garg Engineering College - [AKGEC],no data found
312,Atria Institute of Technology,no data found
313,Bhubaneswar Engineering College - [BEC],no data found
314,College of Engineering Bhubaneswar - [COEB],no data found
315,Guru Tegh Bahadur Institute of Technology - [GTBIT],no data found
316,Krishna Engineering College - [KEC],no data found
317,Meerut Institute of Engineering and Technology - [MIET],no data found
318,RNS Institute of Technology - [RNSIT],no data found
319,Raj Kumar Goel Institute of Technology - [RKGIT],no data found
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],no data found
321,Rizvi College of Engineering - [RCOE],no data found
322,S.A. Engineering College,no data found
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],no data found
324,St Martin's Engineering College - [SMEC],no data found
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",no data found
326,Arka Jain University,no data found
327,Maharishi Markandeshwar - [MMU],no data found
328,Nitte University - [NITTE],no data found
329,MIT Academy of Engineering - [MITAOE],no data found
330,Vivekananda Global University - [VGU],no data found
331,Shri Ramswaroop Memorial University - [SRMU],no data found
332,Amity University,no data found
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,no data found
334,PSG Institute of Technology and Applied Research - [PSG iTech],no data found
335,XIM University,no data found
336,Swami Vivekanand University,no data found
337,Mahaveer Institute of Engineering & Technology - [MIET],no data found
338,Anant National University - [AnantU],no data found
339,Atmiya University,no data found
340,Acropolis Group of Institutions,no data found
341,Echelon Institute of Technology,no data found
342,AISSMS College of Engineering - [AISSMSCOE],no data found
343,Amal Jyothi College of Engineering - [AJCE],no data found
344,Bengal Institute of Technology - [BIT],no data found
345,Bhagwan Parshuram Institute of Technology - [BPIT],no data found
346,Bhilai Institute of Technology - [BIT],no data found
347,Canara Engineering College - [CEC],no data found
348,DKTE Society's Textile and Engineering Institute - [DKTE],no data found
349,East West Institute of Technology - [EWIT],no data found
350,GS Mandal's Marathwada Institute of Technology - [MIT],no data found
351,Hindustan College of Engineering - [HCE],no data found
352,IMS Engineering College - [IMSEC],no data found
353,Jayawantrao Sawant College of Engineering- [JSCOE],no data found
354,Jerusalem College of Engineering - [JCE],no data found
355,Keshav Memorial Institute of Technology - [KMIT],no data found
356,MIT-WPU Faculty of Engineering,no data found
357,Maharashtra Institute of Technology - [MIT],no data found
358,Mahendra Engineering College,no data found
359,Malnad College of Engineering - [MCE],no data found
360,Marian Engineering College - [MEC],no data found
361,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],no data found
362,Pillai College of Engineering - [PCE] Navi Mumbai,no data found
363,Poornima College of Engineering,no data found
364,Pune Institute of Computer Technology- [PICT],no data found
365,SNS College of Engineering - [SNSCE],no data found
366,Saintgits College of Engineering,no data found
367,Saranathan College of Engineering - [SCE],no data found
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,no data found
369,Sethu Institute of Technology,no data found
370,Siliguri Institute of Technology - [SIT],no data found
371,Trichy Engineering College - [TEC],no data found
372,JSS Academy of Technical Education - [JSSATE],no data found
373,Vaagdevi College of Engineering - [VCOE],no data found
374,Jharkhand Rai University - [JRU],no data found
375,Shridhar University,no data found
376,University of Engineering and Management - [UEM],no data found
377,Amrita Vishwa Vidyapeetham,no data found
378,International Institute of Information Technology - [I²IT],no data found
379,CMR Engineering College - [CMREC],no data found
380,Lingaya's Vidyapeeth,no data found
381,Matrusri Engineering College,no data found
382,Vemana Institute of Technology,no data found
383,SRM University Delhi NCR,no data found
384,SRM University Sikkim,no data found
385,The Northcap University - [NCU],no data found
386,LNCT University - [LNCTU],no data found
387,Jaipur Engineering College and Research Centre,no data found
388,Avantika University,no data found
389,Dayananda Sagar University - [DSU],no data found
390,C. U. Shah University,no data found
391,Techno Main Salt Lake,no data found
392,P.P. Savani University,no data found
393,VIT University - [VIT- AP],no data found
394,Usha Martin University - [UMU],no data found
395,Sangai International University - [SIU],no data found
396,Pranveer Singh Institute of Technology - [PSIT],no data found
397,Rama University,no data found
398,Birla Institute of Technology - [BIT],no data found
399,Institute of Advanced Studies in Education - [IASE University],no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],no data found
401,Anurag College of Engineering - [ACE],no data found
402,Agni College of Technology,no data found
403,Bengal College of Engineering and Technology - [BCET],no data found
404,Chandigarh Engineering College - [CEC] Landran,no data found
405,Delhi Technical Campus - [DTC],no data found
406,Dr. B.C. Roy Engineering College - [BCREC],no data found
407,Erode Sengunthar Engineering College,no data found
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,no data found
409,IILM University,no data found
410,Inderprastha Engineering College - [IPEC],no data found
411,Kanpur Institute of Technology - [KIT],no data found
412,Kashi Institute of Technology - [KIT],no data found
413,Lakshmi Narain College of Technology - [LNCT],no data found
414,Meenakshi Sundararajan Engineering College - [MSEC],no data found
415,Nandha Engineering College - [NEC],no data found
416,Pragati Engineering College,no data found
417,Prathyusha Engineering College - [PEC],no data found
418,RCC Institute of Information Technology - [RCCIIT],no data found
419,RMD Engineering College,no data found
420,Sambhram Institute of Technology - [SAIT],no data found
421,Sphoorthy Engineering College - [SPHN],no data found
422,Sri Eshwar College of Engineering - [SECE],no data found
423,SJB Institute of Technology - [SJBIT],no data found
424,The Oxford College of Engineering,no data found
425,Bhilai Institute of Technology - [BITR],no data found
426,Jaipur Engineering College - [JEC],no data found
427,Vidyavardhaka College of Engineering - [VVCE],no data found
428,Vidya Jyothi Institute of Technology - [VJIT],no data found
429,GITAM,"Gitam University offers Distance education which is approved by UGC and DEB as well. Distance education in this university came into existence in 2009. It offers various levels of degree programs such as Diploma, Undergraduate and Postgraduate programs. Some of the courses that are offered are Diploma in communicative English, Diploma in Computer application, BA, Bcom, MBA etc."
430,Modern Vidya Niketan - [MVN University],no data found
431,Arni University,no data found
432,Bahra University - [BU],no data found
433,Amrita Vishwa Vidyapeetham Bengaluru Campus,no data found
434,Sangam University - [SU],no data found
435,Periyar Maniammai Institute of Science and Technology - [PMIST],no data found
436,Shri Venkateshwara University - [SVU],"Shri Venkateshwara University (SVU) is an Amroha-based Private University that came into existence with the aim to offer Distance Education to working professionals in the discipline of Engineering through its Undergraduate and Postgraduate courses namely B.Tech and M.Tech. The University is approved by University Grants Commission, All India Council for Technical Education, Bar Council of India, Pharmacy Council of India, and Indian Nursing Council and admission to university courses is granted based on the score obtained by the candidate in the respective Diploma/degree course and work experience of 1-2 years. Shri Venkateshwara University is a constituent institution of and is managed by Venkateshwara Group of Institutions and offers Engineering programs under the School of Engineering (SOE) which ultimately helps professionals to interact and engage with local industries and corporate mentors."
437,St Joseph College of Engineering,no data found
438,Lakshmi Narain College of Technology - [LNCT],no data found
439,GMR Institute of Technology - [GMRIT],no data found
440,Panimalar Institute of Technology-[PIT],no data found
441,Muthayammal Engineering College - [MEC],no data found
442,Technocrats Institute of Technology - [TIT] (Excellence),no data found
443,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],no data found
444,RNB Global University - [RNBGU],no data found
445,Axis Colleges,no data found
446,Amity University,no data found
447,Netaji Subhas Institute of Technology - [NSIT],no data found
448,Excel Engineering College,no data found
449,Muthayammal College of Engineering - [MCE],no data found
450,Sandip University,no data found
451,IIMT University - [IIMTU],no data found
452,Bengal College of Engineering - [BCE],no data found
453,Apex University - [AU],no data found
454,JSS Science and Technology University -[JSSSTU],no data found
455,Dev Bhoomi Uttarakhand University - [DBUU],no data found
456,Eternal University - [EU],no data found
