Serial No.,College Name,Course,Fees,Eligibility,Application Date
1,BITS Pilani (Pilani Campus),"BE
8 Courses",6.04 Lakhs - 6.04 Lakhs (1st Year Fees),10+2 with 75% + BISAT,18 May - 20 Dec 2024
1,BITS Pilani (Pilani Campus),"MBA
1 Course",5.72 Lakhs (1st Year Fees),Graduation with 60%,11 Dec - 27 Feb 2024
1,BITS Pilani (Pilani Campus),"ME
16 Courses",5.72 Lakhs - 6.04 Lakhs (1st Year Fees),Graduation with 60%,6 Mar - 20 Jul 2024
1,BITS Pilani (Pilani Campus),"M.Pharm
3 Courses",6.04 Lakhs (1st Year Fees),Graduation with 60%,6 Mar - 20 Jul 2024
1,BITS Pilani (Pilani Campus),"M.Sc
6 Courses",6.04 Lakhs (1st Year Fees),GRaduation with 60%,15 Jan - 11 Apr 2024
2,Institute of Chemical Technology - [ICT],"B.Tech
8 Courses","89,100 (1st Year Fees)",10+2 with 50% + MHTCET,16 Jan - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"M.Pharm
5 Courses","92,000 - 1.92 Lakhs (1st Year Fees)",Pass in B.Pharm. + GPAT,29 May - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"Ph.D
31 Courses","95,000 (1st Year Fees)",Post Graduation with 60%+GATE,-
2,Institute of Chemical Technology - [ICT],"M.Sc
6 Courses","65,000 - 70,000 (1st Year Fees)",Graduation,29 May - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"PG Diploma
1 Course","15,000 (1st Year Fees)",Bachelor’s degree with 60%,-
3,Vellore Institute of Technology - [VIT University],"B.Tech
39 Courses",1.76 Lakhs - 1.98 Lakhs (1st Year Fees),10+2 + VITEEE,1 Nov - 10 Apr 2024
3,Vellore Institute of Technology - [VIT University],"BCA
1 Course","57,000 (1st Year Fees)",10+2 with 60%,2 Feb - 31 May 2024
3,Vellore Institute of Technology - [VIT University],"MBA
1 Course",3.52 Lakhs (1st Year Fees),Graduation + CAT/MAT/CMAT,9 Sept - 05 Feb 2024
3,Vellore Institute of Technology - [VIT University],"BBA
1 Course","57,000 (1st Year Fees)",10+2,15 May - 31 May 2024
3,Vellore Institute of Technology - [VIT University],"B.Des
1 Course",1.76 Lakhs (1st Year Fees),10+2 + UCEED,31 Jan - 31 May 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"B.Tech
1 Course",5.4 Lakhs (1st Year Fees),10+2,8 May - 31 Jul 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"M.Tech
7 Courses",1.79 Lakhs (1st Year Fees),Graduation,30 June 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE
15 Courses",4.55 Lakhs - 5.95 Lakhs (1st Year Fees),10+2,8 May - 31 Jul 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA
12 Courses",5.97 Lakhs - 13.31 Lakhs (1st Year Fees),Graduation with 50%,15 Jan - 27 Mar 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"ME
14 Courses",1.79 Lakhs - 1.99 Lakhs (1st Year Fees),Graduation,30 June 2024
5,Indian Institute of Space Science and Technology - [IIST],"B.Tech
2 Courses",1.45 Lakhs (1st Year Fees),10+2 with 75% + JEE Advanced,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"M.Tech
15 Courses","87,400 (1st Year Fees)",Graduation with 60% + GATE,4 May - 07 Jun 2024
5,Indian Institute of Space Science and Technology - [IIST],"M.Sc
1 Course","87,400 (1st Year Fees)",Graduation with 60% + GATE,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"B.Tech + M.S
2 Courses",1.45 Lakhs (1st Year Fees),10+2 with 75% + JEE Advanced,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"Ph.D
7 Courses","21,400 (1st Year Fees)",Post Graduation with 60%,4 May 2024
6,Birla Institute of Technology - [BIT Mesra],"B.Tech
11 Courses",4.13 Lakhs (1st Year Fees),10+2 with 60% + JEE MAINS,25 May - 21 Jun 2024
6,Birla Institute of Technology - [BIT Mesra],"MBA
1 Course",3.03 Lakhs (1st Year Fees),Graduation with 55%+CAT/XAT,27 Jan - 18 Aug 2024
6,Birla Institute of Technology - [BIT Mesra],B.Arch,4.28 Lakhs (1st Year Fees),10+2 with 60%+ JEE MAINS,25 May - 21 Jun 2024
6,Birla Institute of Technology - [BIT Mesra],BHMCT,2.2 Lakhs (1st Year Fees),10+2 with 50%,20 Apr - 18 Aug 2024
6,Birla Institute of Technology - [BIT Mesra],"M.Tech
25 Courses",1.71 Lakhs (1st Year Fees),Graduation with 55% + GATE,22 Mar - 18 Aug 2024
7,Amity University,"B.Tech
29 Courses",1.87 Lakhs - 4.13 Lakhs (1st Year Fees),10+2 with 60% + Amity JEE,14 Oct 2024
7,Amity University,"BCA
1 Course",2.24 Lakhs (1st Year Fees),10+2,14 Oct 2024
7,Amity University,"B.Com
1 Course",2.2 Lakhs (1st Year Fees),10+2,14 Oct 2024
7,Amity University,"BBA
16 Courses",2.44 Lakhs - 4.85 Lakhs (1st Year Fees),10+2,14 Oct 2024
7,Amity University,"B.Ed
4 Courses","88,000 - 1.28 Lakhs (1st Year Fees)",Graduation,14 Oct 2024
8,SRM Engineering College,"B.Tech
34 Courses",2.75 Lakhs - 4.75 Lakhs (1st Year Fees),10+2 with 60%,10 Nov - 15 Jun 2024
8,SRM Engineering College,"M.Sc
5 Courses","60,000 - 70,000 (1st Year Fees)",Graduation with 50%,-
8,SRM Engineering College,"B.Tech + M.Tech
4 Courses",2.75 Lakhs - 3.75 Lakhs (1st Year Fees),10+2,10 Nov - 15 Jun 2024
8,SRM Engineering College,"Ph.D
20 Courses","15,000 - 45,000 (1st Year Fees)",Postgraduation,-
8,SRM Engineering College,"B.Des
1 Course",1.5 Lakhs (1st Year Fees),10+2 with 50%,-
9,SSN College of Engineering - [SSNCE],"B.Tech
2 Courses","55,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
9,SSN College of Engineering - [SSNCE],"BE
6 Courses","55,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
9,SSN College of Engineering - [SSNCE],"M.Tech
2 Courses","60,000 (Total Fees)",Graduation with 50% + GATE,15 Apr - 14 May 2024
9,SSN College of Engineering - [SSNCE],"ME
9 Courses","60,000 (Total Fees)",Graduation with 50% + GATE,15 Apr - 14 May 2024
9,SSN College of Engineering - [SSNCE],"MBA
1 Course","41,000 (Total Fees)",Graduation,10 Jan - 15 Feb 2024
10,SASTRA University,"B.Tech
25 Courses",1.87 Lakhs (1st Year Fees),10+2 + JEE Main,31 July 2024
10,SASTRA University,"M.Tech
18 Courses",1.57 Lakhs (1st Year Fees),Graduation + GATE,31 July 2024
10,SASTRA University,"BCA
1 Course","44,750 (1st Year Fees)",10+2,-
10,SASTRA University,"MBA
1 Course",1.57 Lakhs (1st Year Fees),Graduation + CAT,31 July 2024
10,SASTRA University,"M.Sc
5 Courses","44,750 (1st Year Fees)",Graduation,31 July 2024
11,Manipal Institute of Technology - [MIT],"B.Tech
21 Courses",13.1 Lakhs - 19.58 Lakhs (Total Fees),10+2 with 50% + MET,22 Apr - 21 Jun 2024
11,Manipal Institute of Technology - [MIT],"M.Tech
27 Courses",3.6 Lakhs - 4.48 Lakhs (Total Fees),Graduation,15 May 2024
11,Manipal Institute of Technology - [MIT],"B.Tech {Lateral}
18 Courses",9.85 Lakhs - 15.37 Lakhs (Total Fees),Diploma with 45% + MET,-
11,Manipal Institute of Technology - [MIT],MCA,4.2 Lakhs (Total Fees),Graduation with 50%,22 Apr 2024
12,P.S.G College of Technology - [PSGCT],"B.Tech
4 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
12,P.S.G College of Technology - [PSGCT],"BE
13 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
12,P.S.G College of Technology - [PSGCT],"B.Sc + M.Sc
4 Courses","41,000 (1st Year Fees)",10+2,-
12,P.S.G College of Technology - [PSGCT],"MBA
6 Courses","20,500 (1st Year Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
12,P.S.G College of Technology - [PSGCT],"B.Sc
2 Courses","41,000 (1st Year Fees)",10+2,-
13,Sathyabama Institute of Science and Technology,"BE
15 Courses",1.5 Lakhs - 3.55 Lakhs (1st Year Fees),10+2 with 50% + SAEEE,31 July 2024
13,Sathyabama Institute of Science and Technology,"B.Tech
4 Courses",1.55 Lakhs - 2.45 Lakhs (1st Year Fees),10+2 with 50% + SAEEE,31 July 2024
13,Sathyabama Institute of Science and Technology,"MBA
1 Course",4.05 Lakhs (Total Fees),Graduation with 50%,31 July 2024
13,Sathyabama Institute of Science and Technology,"B.Sc
19 Courses",2.03 Lakhs - 4.55 Lakhs (Total Fees),10+2 with 50%,31 July 2024
13,Sathyabama Institute of Science and Technology,"B.Sc (Nursing)
1 Course",4.45 Lakhs (Total Fees),10+2 with 50%,31 July 2024
14,Kalinga Institute of Industrial Technology - [KIIT],"B.Tech
15 Courses",3.5 Lakhs - 3.84 Lakhs (1st Year Fees),10+2 with 60% + KIITEE,10 Nov - 30 Jun 2024
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA
7 Courses",2.95 Lakhs - 6.15 Lakhs (1st Year Fees),Graduation with 50%,20 Mar - 30 Jun 2024
14,Kalinga Institute of Industrial Technology - [KIIT],"B.Sc (Nursing)
1 Course",1.77 Lakhs (1st Year Fees),10+2,10 Nov - 30 Jun 2024
14,Kalinga Institute of Industrial Technology - [KIIT],"BCA
1 Course",1.92 Lakhs (1st Year Fees),10+2 with 50% + KIITEE,20 Mar - 30 Jun 2024
14,Kalinga Institute of Industrial Technology - [KIIT],"M.Tech
17 Courses",2.34 Lakhs (1st Year Fees),Graduation + GATE,10 Nov - 30 Jun 2024
15,Siksha 'O' Anusandhan University - [SOA],MBBS,19.6 Lakhs (1st Year Fees),10+2 with 50% + NEET,-
15,Siksha 'O' Anusandhan University - [SOA],"B.Tech
11 Courses",2.35 Lakhs - 2.95 Lakhs (1st Year Fees),10+2 with 60%,31 Dec - 12 Jul 2024
15,Siksha 'O' Anusandhan University - [SOA],"B.Sc (Nursing)
1 Course",1.5 Lakhs (1st Year Fees),10+2 with 45%,31 Dec - 16 Apr 2024
15,Siksha 'O' Anusandhan University - [SOA],"MBA
3 Courses","90,000 - 3.5 Lakhs (1st Year Fees)",Graduation with 50%,31 Dec - 16 Apr 2024
15,Siksha 'O' Anusandhan University - [SOA],"B.Sc
7 Courses",1 Lakh (1st Year Fees),10+2,31 Dec - 16 Apr 2024
16,K L University - [KLU],"B.Tech
9 Courses",2.4 Lakhs - 2.95 Lakhs (1st Year Fees),10+2 with 60%,15 Aug 2024
16,K L University - [KLU],"B.Sc
6 Courses",1.2 Lakhs - 1.75 Lakhs (1st Year Fees),10+2 with 55%,15 Aug 2024
16,K L University - [KLU],"MBA
6 Courses",2.85 Lakhs - 6.15 Lakhs (1st Year Fees),Graduation with 55%,15 Aug 2024
16,K L University - [KLU],"M.Tech
17 Courses",1.35 Lakhs - 1.65 Lakhs (1st Year Fees),Graduation with 55%,15 Aug 2024
16,K L University - [KLU],"BCA
8 Courses",2.15 Lakhs - 2.2 Lakhs (1st Year Fees),10+2 with 55%,15 Aug 2024
17,Kalasalingam Academy of Research and Education,"B.Tech
19 Courses",1.22 Lakhs - 2.07 Lakhs (1st Year Fees),10+2 with 50% + JEE Main,31 Aug 2024
17,Kalasalingam Academy of Research and Education,"B.Sc
11 Courses","35,000 - 1.46 Lakhs (1st Year Fees)",10+2,31 Aug 2024
17,Kalasalingam Academy of Research and Education,"MBA
2 Courses","90,600 - 1.22 Lakhs (1st Year Fees)",Graduation with 60% + CAT,10 June - 31 Aug 2024
17,Kalasalingam Academy of Research and Education,"Ph.D
17 Courses","70,000 (1st Year Fees)",Post Graduation,31 Aug 2024
17,Kalasalingam Academy of Research and Education,"B.Tech {Lateral}
18 Courses",1.22 Lakhs - 2.07 Lakhs (1st Year Fees),Diploma with 60%,31 Aug 2024
18,R V College of Engineering - [RVCE],"BE
14 Courses",3.12 Lakhs (1st Year Fees),10+2,24 May - 17 Jun 2024
18,R V College of Engineering - [RVCE],"M.Tech
13 Courses",1.51 Lakhs (Total Fees),Pass in Graduation + GATE,27 May - 17 Jun 2024
18,R V College of Engineering - [RVCE],"BE {Lateral}
14 Courses",1.2 Lakhs (1st Year Fees),Diploma,-
18,R V College of Engineering - [RVCE],MCA,4.55 Lakhs (1st Year Fees),Graduation with 50%,27 May - 17 Jun 2024
19,Ramaiah Institute of Technology - [RIT],"BE
19 Courses",3.14 Lakhs (1st Year Fees),10+2 with 50% + KCET/COMEDK,24 May - 17 Jun 2024
19,Ramaiah Institute of Technology - [RIT],"MBA
7 Courses","70,060 (1st Year Fees)",Graduation with 50% + MAT,27 May - 17 Jun 2024
19,Ramaiah Institute of Technology - [RIT],"M.Tech
14 Courses",1.51 Lakhs (Total Fees),Pass in Graduation + GATE,27 May - 17 Jun 2024
19,Ramaiah Institute of Technology - [RIT],"M.Sc
13 Courses","81,610 (1st Year Fees)",Post Graduation,27 May - 17 Jun 2024
19,Ramaiah Institute of Technology - [RIT],"M.Arch
2 Courses","81,610 (1st Year Fees)",10+2,-
20,International Institute of Information Technology - [IIIT-B],"B.Tech + M.Tech
2 Courses",4.64 Lakhs (1st Year Fees),10+2 + JEE Main,26 Apr - 31 Jul 2024
20,International Institute of Information Technology - [IIIT-B],"M.Tech
2 Courses",4.66 Lakhs (1st Year Fees),Graduation with 65% + GATE,16 Mar - 26 Jun 2024
20,International Institute of Information Technology - [IIIT-B],"M.Sc
1 Course",1.28 Lakhs (1st Year Fees),Graduation,15 Mar - 06 Jul 2024
20,International Institute of Information Technology - [IIIT-B],"M.Sc
1 Course",3.84 Lakhs (1st Year Fees),Graduation,15 Mar - 06 Jul 2024
20,International Institute of Information Technology - [IIIT-B],"Ph.D
7 Courses",1.54 Lakhs (1st Year Fees),Post Graduation,-
21,BMS College of Engineering - [BMSCE],"BE
15 Courses",2 Lakhs - 10 Lakhs (Total Fees),10+2 with 45% + COMEDK UGET,24 May - 17 Jun 2024
21,BMS College of Engineering - [BMSCE],"M.Tech
14 Courses",1.51 Lakhs (Total Fees),Graduation,-
21,BMS College of Engineering - [BMSCE],"MBA
4 Courses",4.5 Lakhs (1st Year Fees),Graduation with 50% + CAT,27 May - 17 Jun 2024
21,BMS College of Engineering - [BMSCE],"BE {Lateral}
17 Courses",2 Lakhs - 10 Lakhs (Total Fees),10+3 with 45%,-
21,BMS College of Engineering - [BMSCE],"M.Arch
1 Course",1.51 Lakhs (Total Fees),Graduation,-
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"B.Tech
34 Courses",2.19 Lakhs - 2.79 Lakhs (1st Year Fees),10+2 with 50%,31 July 2024
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"M.Sc
10 Courses","79,300 - 1.3 Lakhs (1st Year Fees)",Graduation with 50%,31 July 2024
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"B.Sc
3 Courses","99,800 - 2 Lakhs (1st Year Fees)",10+2 with 50%,31 July 2024
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"M.Tech
9 Courses",1.34 Lakhs (1st Year Fees),Graduation with 60%,31 July 2024
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"B.Sc {Hons.}
1 Course",2.79 Lakhs (1st Year Fees),10+2 with 50%,31 July 2024
23,Kumaraguru College of Technology - [KCT],"B.Tech
5 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
23,Kumaraguru College of Technology - [KCT],"BE
10 Courses","55,000 - 1 Lakh (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
23,Kumaraguru College of Technology - [KCT],"MBA
3 Courses","35,000 (1st Year Fees)",Graduation,10 June - 04 Jul 2024
23,Kumaraguru College of Technology - [KCT],"M.Tech
5 Courses","50,000 (1st Year Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
23,Kumaraguru College of Technology - [KCT],"ME
10 Courses","50,000 - 1.2 Lakhs (1st Year Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
24,Punjab Engineering College University of Technology - [PEC],"B.Tech
13 Courses",2.07 Lakhs (1st Year Fees),10+2,10 June - 21 Jun 2024
24,Punjab Engineering College University of Technology - [PEC],"M.Tech
22 Courses",1.06 Lakhs - 1.16 Lakhs (1st Year Fees),Pass in Graduation + GATE,24 May - 22 Jun 2024
24,Punjab Engineering College University of Technology - [PEC],"MBA
1 Course",2.13 Lakhs (Total Fees),Graduation,23 Apr - 18 Jun 2024
24,Punjab Engineering College University of Technology - [PEC],"Ph.D
10 Courses","48,000 - 77,000 (1st Year Fees)",Post Graduation,1 Nov - 16 Nov 2023
24,Punjab Engineering College University of Technology - [PEC],B.Des,2.07 Lakhs (1st Year Fees),10+2,23 Apr - 18 Jun 2024
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech
8 Courses",3.35 Lakhs (1st Year Fees),10+2 with 60%,12 Feb - 31 May 2024
25,Jaypee Institute of Information Technology University - [JIIT],"BBA
1 Course",2.16 Lakhs (1st Year Fees),10+2 with 60%,12 Feb - 31 Jul 2024
25,Jaypee Institute of Information Technology University - [JIIT],"BCA
1 Course",1.57 Lakhs (1st Year Fees),10+2 with 60%,12 Feb - 31 May 2024
25,Jaypee Institute of Information Technology University - [JIIT],"M.Sc
5 Courses","87,100 (1st Year Fees)",Graduation with 50%,12 Feb - 14 Aug 2024
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech + M.Tech
3 Courses",3.35 Lakhs (1st Year Fees),10+2 with 60%,12 Feb - 31 May 2024
26,Indian Institute of Information Technology - [IIIT],"B.Tech
3 Courses",2.05 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,10 June - 31 Jul 2024
26,Indian Institute of Information Technology - [IIIT],"MBA
1 Course",0 (1st Year Fees),Graduation with 50% + CAT,10 May 2024
26,Indian Institute of Information Technology - [IIIT],"M.Tech
14 Courses",1.75 Lakhs (1st Year Fees),Pass in Graduation + GATE,24 May - 26 Jun 2024
26,Indian Institute of Information Technology - [IIIT],"Ph.D
9 Courses","98,800 (1st Year Fees)",Post Graduation,10 Apr - 15 May 2024
26,Indian Institute of Information Technology - [IIIT],"B.Tech + M.Tech
3 Courses",1.04 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,10 June - 31 Jul 2024
27,Dayalbagh Educational Institute Faculty of Engineering,"B.Tech
4 Courses","51,300 (Total Fees)",10+2 with 45% + UPTAC,no data found
27,Dayalbagh Educational Institute Faculty of Engineering,"B.Sc
3 Courses","5,280 - 15,840 (Total Fees)",10+2,no data found
27,Dayalbagh Educational Institute Faculty of Engineering,"M.Tech
1 Course","26,500 (Total Fees)",Pass in Graduation + GATE,no data found
28,Mepco Schlenk Engineering College,"BE
6 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
28,Mepco Schlenk Engineering College,"B.Tech
3 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
28,Mepco Schlenk Engineering College,"MBA
4 Courses","41,000 (Total Fees)",Graduation,10 Jan - 15 Feb 2024
28,Mepco Schlenk Engineering College,"M.Tech
3 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
28,Mepco Schlenk Engineering College,"ME
7 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
29,Sri Venkateswara University College of Engineering,"B.Tech
7 Courses","44,140 - 6 Lakhs (Total Fees)",10+2 with 45% + AP EAMCET,11 Mar - 25 Jul 2024
29,Sri Venkateswara University College of Engineering,"M.Tech
9 Courses","81,980 (Total Fees)",Graduation with 50% + APPGECET,23 Mar - 12 May 2024
29,Sri Venkateswara University College of Engineering,"B.Tech {Lateral}
6 Courses",1.2 Lakhs (Total Fees),10+3 with 45% + AP ECET,-
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech
3 Courses",3.3 Lakhs (1st Year Fees),10+2 + JEE Mains,1 Apr - 31 Jul 2024
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech {Hons.}
1 Course",3.3 Lakhs (1st Year Fees),10+2 + JEE Mains,1 Apr - 31 Jul 2024
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"M.Tech
1 Course",1.72 Lakhs (1st Year Fees),Graduation with 60% + GATE,7 Mar - 01 Jul 2024
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"M.Sc
3 Courses",2.1 Lakhs - 3.14 Lakhs (1st Year Fees),Graduation with 60%,7 Mar - 20 May 2024
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"M.Des
1 Course",2.38 Lakhs (1st Year Fees),Graduation with 55% + CEED,7 Mar - 30 May 2024
31,Bharati Vidyapeeth Deemed University Pune,"B.Tech
11 Courses",1.2 Lakhs - 1.84 Lakhs (1st Year Fees),10+2 with 50%,1 June 2024
31,Bharati Vidyapeeth Deemed University Pune,"BBA
1 Course",1.5 Lakhs (1st Year Fees),10+2,7 June 2024
31,Bharati Vidyapeeth Deemed University Pune,"BCA
1 Course","90,000 (1st Year Fees)",10+2 + BUMAT,7 June 2024
31,Bharati Vidyapeeth Deemed University Pune,"Ph.D.
34 Courses","30,000 - 50,000 (1st Year Fees)",Post Graduation,-
31,Bharati Vidyapeeth Deemed University Pune,"M.Tech
7 Courses","50,000 (1st Year Fees)",Graduation with 50% + GATE,-
32,Hindustan Institute of Technology and Science - [HITS],"B.Tech
16 Courses",2.3 Lakhs (1st Year Fees),10+2,29 Nov - 31 Aug 2024
32,Hindustan Institute of Technology and Science - [HITS],"MBA
11 Courses",2.2 Lakhs (1st Year Fees),Graduation,-
32,Hindustan Institute of Technology and Science - [HITS],"B.Sc
12 Courses","57,500 (1st Year Fees)",10+2,16 Dec - 31 Aug 2024
32,Hindustan Institute of Technology and Science - [HITS],"BBA
4 Courses",1.17 Lakhs (1st Year Fees),10+2,-
32,Hindustan Institute of Technology and Science - [HITS],"M.Tech
15 Courses",1.25 Lakhs (1st Year Fees),Graduation,31 Aug 2024
33,C. V. Raman Global University,"B.Tech
14 Courses",1.95 Lakhs - 2.25 Lakhs (1st Year Fees),10+2 with 60%,10 Apr - 20 Aug 2024
33,C. V. Raman Global University,"B.Tech {Lateral}
19 Courses",1.95 Lakhs - 2.25 Lakhs (1st Year Fees),Diploma with 45%,-
33,C. V. Raman Global University,"B.Sc
3 Courses","60,000 - 1.1 Lakhs (1st Year Fees)",10+2,10 Apr - 10 May 2024
33,C. V. Raman Global University,"M.Sc
7 Courses","80,000 - 90,000 (1st Year Fees)",Graduation with 60%,10 Apr - 10 May 2024
33,C. V. Raman Global University,"BCA
1 Course","90,000 (1st Year Fees)",Graduation,10 Apr - 10 May 2024
34,Sri Krishna College of Engineering and Technology - [SKCET],"B.Tech
4 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
34,Sri Krishna College of Engineering and Technology - [SKCET],"BE
8 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
34,Sri Krishna College of Engineering and Technology - [SKCET],"MBA
5 Courses","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
34,Sri Krishna College of Engineering and Technology - [SKCET],"B.Tech + M.Tech
1 Course",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
34,Sri Krishna College of Engineering and Technology - [SKCET],"ME
7 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
35,Kongu Engineering College - [KEC],"BE
9 Courses","55,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
35,Kongu Engineering College - [KEC],"B.Tech
5 Courses","55,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
35,Kongu Engineering College - [KEC],"MBA
1 Course",1 Lakh (1st Year Fees),Graduation,10 June - 04 Jul 2024
35,Kongu Engineering College - [KEC],"M.Tech
3 Courses","50,000 (1st Year Fees)",Graduation,15 Apr - 14 May 2024
35,Kongu Engineering College - [KEC],"B.Sc
3 Courses",1 Lakh (1st Year Fees),10+2,-
36,"Vignan's Foundation for Science, Technology, and Research","B.Tech
18 Courses",1.2 Lakhs - 2.8 Lakhs (1st Year Fees),10+2 with 45% + VSAT,31 July 2024
36,"Vignan's Foundation for Science, Technology, and Research","MBA
4 Courses",1.7 Lakhs (1st Year Fees),Graduation with 50% + CAT,31 July 2024
36,"Vignan's Foundation for Science, Technology, and Research","M.Tech
20 Courses",1.1 Lakhs (1st Year Fees),Pass in Graduation + GATE,23 Mar - 31 Jul 2024
36,"Vignan's Foundation for Science, Technology, and Research","Ph.D
3 Courses","70,000 (1st Year Fees)",Post Graduation,31 July 2024
36,"Vignan's Foundation for Science, Technology, and Research","BBA
1 Course",1.1 Lakhs (1st Year Fees),10+2,-
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"B.Tech
14 Courses","85,000 - 95,000 (1st Year Fees)",10+2 with 50%,-
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"B.Sc
2 Courses","90,000 - 1 Lakh (1st Year Fees)",10+2 with 50%,-
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"MBA
12 Courses",1.9 Lakhs - 3.74 Lakhs (1st Year Fees),Graduation,10 June - 04 Jul 2024
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"M.Tech
10 Courses","40,000 (1st Year Fees)",Graduation,-
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"B.Des
1 Course",1.65 Lakhs (1st Year Fees),10+2 with 50%,-
38,Bannari Amman Institute of Technology - [BIT],"B.Tech
10 Courses","75,000 (1st Year Fees)",10+2 with 45%+JEE MAINS,6 May - 11 Jun 2024
38,Bannari Amman Institute of Technology - [BIT],"BE
12 Courses","75,000 (1st Year Fees)",10+2 with 45%+TANCET,6 May - 11 Jun 2024
38,Bannari Amman Institute of Technology - [BIT],"MBA
1 Course","30,000 (1st Year Fees)",Graduation with 50%+ TANCET,10 June - 04 Jul 2024
38,Bannari Amman Institute of Technology - [BIT],"BE {Lateral}
11 Courses","75,000 (1st Year Fees)",10+2 with 45%+TANCET,-
38,Bannari Amman Institute of Technology - [BIT],"B.Tech {Lateral}
10 Courses","75,000 (1st Year Fees)",10+2 with 45%+TANCET,-
39,Institute of Engineering and Management - [IEM],"B.Tech
13 Courses",2.41 Lakhs - 2.52 Lakhs (1st Year Fees),10+2 with 60%+WBJEE,31 May - 29 Jul 2024
39,Institute of Engineering and Management - [IEM],"MBA
2 Courses",4 Lakhs (1st Year Fees),Graduation with 60%+CAT,31 May 2024
39,Institute of Engineering and Management - [IEM],"BCA
1 Course",1.15 Lakhs (1st Year Fees),10+2 with 50%,31 May 2024
39,Institute of Engineering and Management - [IEM],"B.Tech {Lateral}
9 Courses",2.52 Lakhs (1st Year Fees),Diploma with 60% +WB JELET,-
39,Institute of Engineering and Management - [IEM],"BBA
2 Courses",1.15 Lakhs (1st Year Fees),10+2 with 50%,31 May 2024
40,Sona College of Technology,"B.Tech
6 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
40,Sona College of Technology,"M.Tech
2 Courses","60,000 (Total Fees)",Graduation with 50%,15 Apr - 14 May 2024
40,Sona College of Technology,"BE
10 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
40,Sona College of Technology,"MBA
2 Courses","41,000 (Total Fees)",Graduation with 50%,10 June - 04 Jul 2024
40,Sona College of Technology,"ME
10 Courses","60,000 (Total Fees)",Graduation with 50%,15 Apr - 14 May 2024
